column 1,column 2,column 3,column 4,column 5,column 6,column 7,column 8,column 9
Title,Adress,Description,Company / Owner,Accessible?,Depth,Category,ID,Image
"UT Library / FindUT ",https://www.utwente.nl/en/service-portal/university-library,"UT library main page: search engine for our entire collection, links to databases, Lean Library plugin, guides on searching, how to install endnote,  and much much more!",University of Twente,Yes,3,Access,1,images\1.png
Unpaywall,https://unpaywall.org/,"Browser extension that links your browser to a databases containing free (legal) access to articles. For instance if you find an article through Scopus and the UT doesn't have access,  this might provide you with a link to the full text.",OurResearch,Yes,1,Access,2,images\2.png
Lean Library,https://leanlibrary.com/,"Plugin to get access to articles, books, etc that the UT has access to from any network in the world. ",SAGE,Yes,1,Access,3,images\3.png
UT Databases overview,https://www.utwente.nl/en/service-portal/university-library/find-access-literature/databases-a-z,Overview of all databases that the UT has access to. Part of the service portal/library page.,University of Twente,Yes,1,Access,4,images\4.png
Openacces.nl,https://www.openaccess.nl/,"Site focusing on (Dutch) Open Acces science: publishing, data, education, finding, repositories, etc. Example: a great guide on how to get access & find open acces sources https://www.openaccess.nl/sites/www.openaccess.nl/files/documenten/20-006_how_to_get_the_pdf_february3rd.pdf
","UKB, VSNU, NWO, SURF",Yes,1,Access,5,images\5.png
Zotero,https://www.zotero.org,"Open source & free bibliography & citing management tool. Can be integrated with other software & extended with numerous plugins. Tips:
https://twitter.com/MushtaqBilalPhD/status/1611821066019827713
",Corporation for Digital Scholarship,Yes,3,Bibliography,6,images\6.png
Mendeley,https://www.mendeley.com/,"citing,  bibliography,  reference manager. Not open. Free to use; UT has an institutional license. Make sure you log in with your UT email to access the increased storage!
","RELX (Elsevier, Reed)",Yes,1,Bibliography,7,images\7.png
Endnote Click,https://click.endnote.com/,"Plugin for browsers that integrates with Endnote and provides access,  citing, etc. Endnote itself can be installed from UT's NotebookServiceCenter.",Clarivate,Yes,2,Bibliography,8,images\8.png
AnyStyle,https://anystyle.io/,"Tool that parses bibliography information (text) and formats & outputs it to a bibliography file (BibTex, XML, JSON). Useful to e.g. copy & clean bibliographies from PDF sources.",Sylvester Keil (personal),Yes,1,Bibliography,9,images\9.png
Tropy,https://tropy.org/,"Tropy is free, open-source software that allows you to organize and describe photographs of research material. Can group & link multiple images together. Features powerful metadata editing & templating, and can export to e.g. Zotero. ",RRCHNM,Yes,2,Bibliography,10,images\10.png
JabRef,https://www.jabref.org/,"An open source & free reference manager, built upon a BibTeX core. Can be used on all almost all platforms and browsers.",JabRef E.v.,Yes,2,Bibliography,11,images\11.png
Research Rabbit,https://www.researchrabbit.ai/,"Tool to do literature dives with tabbed views, graphs, and more. Based on multiple databases like Semantic Scholar's.

Quick guide: https://twitter.com/MushtaqBilalPhD/status/1576864148926783488
",Research Rabbit Team,Yes,3,Discovery,12,images\12.png
Open Knowledge Maps,https://openknowledgemaps.org/,"Makes graphs based on multiple databases (BASE,  pubmed,  OpenAIRE) to visualize and explore articles through an open source algorithm based on metadata and ranking of base/pubmed.",Open Knowledge Maps,Yes,2,Discovery,13,images\13.png
Connected Papers,https://www.connectedpapers.com/,"Tool based on semantic scholar to make graphs and discover new research articles.

Quick guide:
https://twitter.com/MushtaqBilalPhD/status/1608038262244777984",Connected Papers,Trial (5 uses/month),1,Discovery,14,images\14.png
Elicit,https://elicit.org/,"tool that uses GPT to find articles based on natural language queries. Still under development,  current focus on empirical journal articles (so not great find things like systematic reviews etc).

Quick guide:
https://twitter.com/MushtaqBilalPhD/status/1607347756498096128",Ought (nonprofit org),Yes,2,Discovery,15,images\15.png
R Discovery,https://discovery.researcher.life/,Recommends 3 research articles to read a day based on your interests and/or your literature collection; with automatic highlights of key content using language models.,Cactus Communications,Yes,1,Discovery,16,images\16.png
scite,https://scite.ai/,"GPT search to find supporting or dissenting papers on your subject/question. Has a zotero plugin to integrate in your bibliography.
",scite,Trial (7 days),2,Discovery,17,images\17.png
Scispace,https://typeset.io/,"GPT search with functions like summaries,  chatbot,  exploring related content,  etc.",typeset.io,Yes,2,Discovery,18,images\18.png
Litmaps,https://www.litmaps.com/,"Graph-based tool for discovering research, identifying subcategories, and more. Built upon open databases (crossref, openalex, semantic scholar).

Quick guide: https://twitter.com/MushtaqBilalPhD/status/1605110005266386944",Litmaps,Limited (functionality),2,Discovery,19,images\19.png
Stateoftheart AI,https://www.stateoftheart.ai/,"Specific curated platform encompassing all AI-related research: papers, repos & codebases, datasets, models, and more.",Stateoftheart AI,Yes,3,Discovery,20,images\20.png
Inciteful,https://inciteful.xyz/,"Builds graphs & connections between papers to discover more; great for literature review. Built upon crossref & open citations.

Quick guide:
https://twitter.com/MushtaqBilalPhD/status/1607659489003728896",Inciteful,Yes,2,Discovery,21,images\21.png
Citation Gecko,https://citationgecko.azurewebsites.net/,"Citation Gecko is an open source tool which uses seed papers to visualize a network based on citations. Simple and focused, with only a few options. Can be run locally as well. ",Barney Walker (personal),Yes,1,Discovery,22,images\22.png
Local Citation Network,https://timwoelfle.github.io/Local-Citation-Network/,"Uses Semantic Scholar and/or OpenAlex to build a network from seed papers/bibliography based on citations, with lots of options to filter & build upon findings. Sorts into ""ingoing"" (new work citing the seeds) and ""outgoing"" (fundamental older papers) suggestions. Open source and customizable. ",Tim Woflfe (personal),Yes,2,Discovery,23,images\23.png
citationchaser,https://estech.shinyapps.io/citationchaser,"An input article list can be used to return a list of all referenced records, and/or all citing records in the Lens.org database (consisting of PubMed, PubMed Central, CrossRef, Microsoft Academic Graph and CORE). Also supports further analysis & visualizing the results. Open source.","Haddaway, N. R., Grainger, M. J., Gray",Yes,3,Discovery,24,images\24.png
Consensus,https://consensus.app/,"language model support tool to find the current scientific consensus on a topic of your choice. Currently supports a limited amount of topics. ",Consensus,Yes,1,Discovery,25,images\25.png
Citation Graph,https://citationgraph.org/,"Tool that builds a citation graph a couple of layers deep based on a max of 10 DOI's. Groups & colors found items based on subject. Easy to use, not many options. Based on crossref & semantic scholar. ",Nicolas Loizeau,Yes,1,Discovery,26,images\26.png
Citation Tree,https://www.citationtree.org/,Builds out the citation tree to show how papers built upon each other based on a single input paper. Uses Semantic scholar & crossref as databases.,Nicolas Loizeau,Yes,1,Discovery,27,images\27.png
PURE suggest,https://fabian-beck.github.io/pure-suggest/,"Based on a set of selected publications, suggesting related publications connected by references. Makes a network graph, lists papers, and also enables the user to add keywords to show in the graph and also use keywords to boost certain results. Uses OpenCitations & Crossref as sources.

",Fabian Beck,Yes,2,Discovery,28,images\28.png
OOIR (Observatory of International Research),https://ooir.org/,"OOIR finds trending research & journals (in all publications or in specific fields), using crossref & altimetrics as data sources.",Andreas Pacher,Yes,1,Discovery,29,images\29.png
PubPeer,https://pubpeer.com/,Webpage & plugin that functions like a message board to talk about research articles. Also integrates with Zotero and Lazy Scholar.,The PubPeer Foundation,Yes,1,Productivity,30,images\30.png
Lazy Scholar plugin,http://www.lazyscholar.org/,"Plugin toolbar to provide acces (legal) to fulltext (integrates with UT's ezproxy),  metrics,  quick citation,  recommendations,  search history,  extract references/abbreviations/etc,  auto save pdfs,  and more.",Colby Vorland (personal),Yes,3,Productivity,31,images\31.png
ChatGPT,https://chat.openai.com/,"Generate text with the GPT algorithm,  for any purpose you can think of. Remember to never present the generated text as your own work!",OpenAI,Yes,3,Productivity,32,images\32.png
GPTZero,https://gptzero.me/,Tool to determine the chance that a text was generated by GPT.,GPTZero,Yes,1,Productivity,33,images\33.png
AI Text Classifier,https://platform.openai.com/ai-text-classifier,OpenAI's own tool to check for GPT text. Very barebones.,OpenAI,Yes,1,Productivity,34,images\34.png
ResearchGate,https://www.researchgate.net/,"A social network tool for academics, also usable for searching articles, discovery , impact analysis, sharing your work.",ResearchGate,Yes,2,Productivity,35,images\35.png
UT Library: Guides per discipline,https://www.utwente.nl/en/service-portal/university-library/find-access-literature/guides-per-discipline,"Guides for each UT study programme containing recommended database, tools, and more. Accessible through the service portal. ",University of Twente,Yes,1,Productivity,36,images\36.png
GPT Detector,https://x.writefull.com/gpt-detector,Yet Another GPT Detector,Writefull,Yes,1,Productivity,37,images\37.png
Grammarly,https://www.grammarly.com/,"Powerful plugin/software for spelling & grammar check. Integrates with almost any software or writing tool. Core functionality is free. ",Grammarly,Limited (functionality),1,Productivity,38,images\38.png
Academia.edu,https://www.academia.edu/,"Combination of a database with papers and a ""social network"" aimed at academic researchers. Hosts a large & freely accessible database of papers; a paid account gives access to advanced features aimed at promoting your research & advanced searches. ",Academia,Yes,2,Productivity,39,images\39.png
